iter	MultiClass
0	0.9663601632
1	0.8649799427
2	0.7851652678
3	0.7201519884
4	0.6649828478
5	0.6195696581
6	0.5798658664
7	0.5447942223
8	0.514582436
9	0.4886458946
10	0.4653079258
11	0.4452022979
12	0.4273222618
13	0.4113650381
14	0.3970697167
15	0.3838771572
16	0.3724799296
17	0.3621329411
18	0.3530542602
19	0.3450620944
20	0.3376925579
21	0.3315043579
22	0.3260336069
23	0.320637339
24	0.3158904571
25	0.3116561972
26	0.3076633978
27	0.3041471366
28	0.3006295443
29	0.2977376052
30	0.295039345
31	0.2927684599
32	0.290689542
33	0.2886148496
34	0.2868145156
35	0.2851361336
36	0.2835893659
37	0.2823846878
38	0.2815807773
39	0.2803461438
40	0.2792622735
41	0.2782191463
42	0.2774284721
43	0.2765753266
44	0.2756832078
45	0.2749415356
46	0.2743321746
47	0.2737508225
48	0.2732704787
49	0.2727596026
50	0.2723211975
51	0.2721187477
52	0.2717194494
53	0.2715377862
54	0.2713759419
55	0.271157541
56	0.2707446983
57	0.2706213394
58	0.2703066434
59	0.2699532751
60	0.2697395688
61	0.2696572199
62	0.2694075792
63	0.2692331632
64	0.2690254375
65	0.2688454367
66	0.2687373883
67	0.268505099
68	0.2683420535
69	0.2682471801
70	0.2681096202
71	0.2678325182
72	0.2677108228
73	0.2675613336
74	0.2674826033
75	0.2672770386
76	0.2671731217
77	0.2670189772
78	0.266964956
79	0.2668066685
80	0.2666742981
81	0.266518622
82	0.2663817592
83	0.2662780858
84	0.266227497
85	0.2661287802
86	0.2660059827
87	0.2659062632
88	0.2657836361
89	0.2656876826
90	0.2656132559
91	0.2655530655
92	0.2653900012
93	0.2653093067
94	0.2651657113
95	0.2650748393
96	0.2649670515
97	0.2648695446
98	0.2647977728
99	0.2647126798
100	0.2646179708
101	0.2645618804
102	0.2644066563
103	0.2642839547
104	0.264219225
105	0.2640980176
106	0.2640210891
107	0.2639584861
108	0.2638602697
109	0.2637746793
110	0.2636996382
111	0.263636402
112	0.263597027
113	0.2635540438
114	0.2634014186
115	0.2633535048
116	0.2633186572
117	0.2632492248
118	0.2631747626
119	0.263116997
120	0.2630542558
121	0.2629301517
122	0.2628969047
123	0.2628055256
124	0.2627762808
125	0.2627137761
126	0.2626306834
127	0.2625315647
128	0.2624464202
129	0.2623948491
130	0.2622891096
131	0.262255656
132	0.2621858855
133	0.2621089443
134	0.2620691044
135	0.2620021043
136	0.2619506835
137	0.2618932114
138	0.2618340275
139	0.2617228464
140	0.2616451425
141	0.2615497258
142	0.2614699608
143	0.2614163628
144	0.2613508988
145	0.2612212972
146	0.2611327112
147	0.2610905229
148	0.2610488035
149	0.2609847164
150	0.260919732
151	0.2608172408
152	0.260773143
153	0.2607193541
154	0.260655175
155	0.260583465
156	0.2605145089
157	0.2604591337
158	0.2603956875
159	0.2603159086
160	0.2602886441
161	0.2601750909
162	0.2601295623
163	0.2600748094
164	0.2600259842
165	0.2599767597
166	0.2599144878
167	0.2598401409
168	0.2597868722
169	0.2597471467
170	0.2596750909
171	0.2595980616
172	0.2595756539
173	0.2595179789
174	0.2594718375
175	0.2593982819
